open_time,open,high,low,close,volume
2026-07-01T00:00:00+00:00,546.52000000,548.56000000,545.25000000,547.86000000,5761.52100000
2026-07-01T01:00:00+00:00,547.87000000,549.76000000,540.00000000,547.85000000,10504.27000000
2026-07-01T02:00:00+00:00,547.85000000,550.50000000,547.12000000,549.78000000,5945.62300000
2026-07-01T03:00:00+00:00,549.78000000,552.83000000,548.73000000,551.52000000,4062.82700000
2026-07-01T04:00:00+00:00,551.52000000,552.65000000,550.67000000,551.09000000,4767.39900000
2026-07-01T05:00:00+00:00,551.09000000,551.64000000,549.81000000,551.01000000,2970.73600000
2026-07-01T06:00:00+00:00,551.01000000,551.12000000,545.08000000,545.91000000,5155.97000000
2026-07-01T07:00:00+00:00,545.92000000,547.74000000,545.22000000,546.89000000,3091.27600000
2026-07-01T08:00:00+00:00,546.88000000,547.31000000,544.06000000,547.25000000,5693.32800000
2026-07-01T09:00:00+00:00,547.25000000,547.69000000,544.79000000,545.26000000,5607.39300000
2026-07-01T10:00:00+00:00,545.26000000,545.73000000,542.00000000,542.21000000,6623.97900000
2026-07-01T11:00:00+00:00,542.21000000,544.44000000,537.25000000,542.64000000,16438.38800000
2026-07-01T12:00:00+00:00,542.64000000,543.72000000,541.32000000,542.66000000,4932.40400000
2026-07-01T13:00:00+00:00,542.65000000,550.74000000,542.65000000,549.13000000,17753.92200000
2026-07-01T14:00:00+00:00,549.13000000,552.53000000,547.37000000,549.48000000,9010.57400000
2026-07-01T15:00:00+00:00,549.49000000,555.68000000,549.42000000,554.36000000,12303.44100000
2026-07-01T16:00:00+00:00,554.36000000,554.96000000,550.79000000,551.66000000,8308.60600000
2026-07-01T17:00:00+00:00,551.66000000,554.47000000,550.15000000,554.25000000,4932.03600000
2026-07-01T18:00:00+00:00,554.25000000,554.35000000,552.23000000,552.92000000,4003.51100000
2026-07-01T19:00:00+00:00,552.92000000,554.02000000,550.43000000,551.25000000,8065.95000000
2026-07-01T20:00:00+00:00,551.26000000,552.48000000,550.03000000,552.47000000,2024.84200000
2026-07-01T21:00:00+00:00,552.48000000,557.12000000,552.47000000,556.26000000,5175.65200000
2026-07-01T22:00:00+00:00,556.25000000,559.55000000,553.20000000,553.70000000,6928.25800000
2026-07-01T23:00:00+00:00,553.70000000,553.74000000,550.14000000,550.44000000,2011.26600000
2026-07-02T00:00:00+00:00,550.45000000,550.56000000,546.21000000,547.78000000,3147.81400000
2026-07-02T01:00:00+00:00,547.79000000,551.84000000,547.74000000,550.44000000,2917.62900000
2026-07-02T02:00:00+00:00,550.44000000,551.89000000,549.00000000,551.05000000,3494.70300000
2026-07-02T03:00:00+00:00,551.05000000,561.19000000,550.16000000,556.94000000,13729.15500000
2026-07-02T04:00:00+00:00,556.93000000,556.93000000,552.80000000,554.33000000,5159.39700000
2026-07-02T05:00:00+00:00,554.33000000,554.33000000,551.94000000,552.09000000,6769.32800000
2026-07-02T06:00:00+00:00,552.09000000,552.27000000,549.00000000,549.03000000,5028.41100000
2026-07-02T07:00:00+00:00,549.03000000,549.99000000,548.74000000,549.40000000,3803.36200000
2026-07-02T08:00:00+00:00,549.40000000,551.13000000,549.25000000,550.87000000,3646.76500000
2026-07-02T09:00:00+00:00,550.87000000,555.99000000,550.16000000,554.56000000,7117.47700000
2026-07-02T10:00:00+00:00,554.56000000,556.83000000,553.87000000,555.95000000,10259.27000000
2026-07-02T11:00:00+00:00,555.95000000,561.73000000,555.64000000,559.93000000,14037.64000000
2026-07-02T12:00:00+00:00,559.94000000,563.30000000,559.14000000,563.05000000,9819.10300000
2026-07-02T13:00:00+00:00,563.05000000,567.17000000,561.49000000,565.15000000,25043.08300000
2026-07-02T14:00:00+00:00,565.15000000,566.41000000,560.02000000,561.99000000,10739.77200000
2026-07-02T15:00:00+00:00,562.00000000,563.55000000,560.33000000,562.54000000,3629.86000000
2026-07-02T16:00:00+00:00,562.54000000,564.16000000,559.44000000,561.89000000,4014.23800000
2026-07-02T17:00:00+00:00,561.89000000,563.59000000,559.87000000,560.68000000,5678.45700000
2026-07-02T18:00:00+00:00,560.69000000,561.82000000,559.88000000,560.16000000,1835.06300000
2026-07-02T19:00:00+00:00,560.16000000,560.35000000,558.00000000,558.14000000,3222.09000000
2026-07-02T20:00:00+00:00,558.14000000,558.88000000,557.39000000,558.42000000,1741.96300000
2026-07-02T21:00:00+00:00,558.42000000,558.49000000,557.22000000,557.52000000,2292.60700000
2026-07-02T22:00:00+00:00,557.52000000,558.33000000,556.16000000,557.37000000,3213.82400000
2026-07-02T23:00:00+00:00,557.36000000,559.60000000,556.66000000,558.96000000,1975.80300000
2026-07-03T00:00:00+00:00,558.95000000,559.26000000,556.99000000,557.69000000,3362.50400000
2026-07-03T01:00:00+00:00,557.69000000,562.12000000,557.22000000,561.58000000,4077.47800000
2026-07-03T02:00:00+00:00,561.58000000,562.01000000,559.14000000,561.52000000,2465.88400000
2026-07-03T03:00:00+00:00,561.52000000,561.82000000,559.54000000,561.03000000,2313.14000000
2026-07-03T04:00:00+00:00,561.03000000,561.71000000,560.04000000,560.74000000,2402.77300000
2026-07-03T05:00:00+00:00,560.74000000,563.31000000,560.40000000,562.56000000,2587.48200000
2026-07-03T06:00:00+00:00,562.56000000,563.97000000,561.34000000,561.54000000,3503.18800000
2026-07-03T07:00:00+00:00,561.54000000,562.47000000,561.14000000,561.69000000,3879.41600000
2026-07-03T08:00:00+00:00,561.68000000,564.00000000,561.34000000,562.29000000,4887.89700000
2026-07-03T09:00:00+00:00,562.29000000,564.39000000,561.71000000,562.86000000,5726.67500000
2026-07-03T10:00:00+00:00,562.87000000,566.50000000,562.66000000,565.91000000,6880.74800000
2026-07-03T11:00:00+00:00,565.91000000,567.58000000,565.14000000,566.77000000,8853.93100000
2026-07-03T12:00:00+00:00,566.78000000,567.84000000,564.38000000,564.97000000,5403.95700000
2026-07-03T13:00:00+00:00,564.98000000,567.78000000,564.74000000,566.92000000,6165.14800000
2026-07-03T14:00:00+00:00,566.91000000,566.91000000,563.23000000,565.89000000,6734.72700000
2026-07-03T15:00:00+00:00,565.90000000,568.45000000,564.82000000,565.65000000,6584.53400000
2026-07-03T16:00:00+00:00,565.66000000,567.24000000,564.60000000,566.74000000,2315.17600000
2026-07-03T17:00:00+00:00,566.74000000,568.26000000,566.37000000,567.86000000,4276.49900000
2026-07-03T18:00:00+00:00,567.87000000,568.77000000,567.67000000,568.42000000,3398.32000000
2026-07-03T19:00:00+00:00,568.43000000,571.50000000,567.70000000,569.69000000,4537.07100000
2026-07-03T20:00:00+00:00,569.69000000,574.73000000,569.51000000,573.17000000,5540.14300000
2026-07-03T21:00:00+00:00,573.17000000,574.94000000,571.85000000,573.94000000,3040.86700000
2026-07-03T22:00:00+00:00,573.94000000,574.37000000,572.34000000,573.14000000,2041.94200000
2026-07-03T23:00:00+00:00,573.14000000,575.21000000,572.61000000,573.81000000,3679.49100000
2026-07-04T00:00:00+00:00,573.81000000,575.71000000,573.46000000,574.08000000,3271.84300000
2026-07-04T01:00:00+00:00,574.08000000,574.08000000,570.93000000,571.84000000,3613.27800000
2026-07-04T02:00:00+00:00,571.84000000,572.56000000,571.16000000,571.91000000,3063.14800000
2026-07-04T03:00:00+00:00,571.90000000,573.00000000,571.45000000,572.23000000,2743.02700000
2026-07-04T04:00:00+00:00,572.23000000,573.36000000,571.46000000,573.18000000,2707.63700000
2026-07-04T05:00:00+00:00,573.17000000,573.17000000,569.90000000,571.35000000,5447.09400000
2026-07-04T06:00:00+00:00,571.36000000,572.38000000,568.74000000,569.96000000,5339.75800000
2026-07-04T07:00:00+00:00,569.96000000,570.10000000,568.70000000,569.70000000,5855.27500000
2026-07-04T08:00:00+00:00,569.71000000,576.24000000,569.21000000,575.21000000,9135.47300000
2026-07-04T09:00:00+00:00,575.21000000,575.37000000,572.20000000,572.61000000,3658.42800000
2026-07-04T10:00:00+00:00,572.62000000,573.00000000,571.36000000,572.01000000,5345.15600000
2026-07-04T11:00:00+00:00,572.00000000,572.76000000,571.24000000,571.91000000,1842.20000000
2026-07-04T12:00:00+00:00,571.91000000,573.66000000,571.90000000,573.28000000,1666.42900000
2026-07-04T13:00:00+00:00,573.28000000,574.50000000,572.21000000,573.30000000,2262.09300000
2026-07-04T14:00:00+00:00,573.29000000,576.00000000,573.19000000,574.63000000,3879.36400000
2026-07-04T15:00:00+00:00,574.64000000,578.23000000,574.00000000,576.74000000,10571.11700000
2026-07-04T16:00:00+00:00,576.74000000,576.82000000,574.84000000,575.78000000,6165.22400000
2026-07-04T17:00:00+00:00,575.78000000,578.79000000,574.46000000,578.48000000,4266.45900000
2026-07-04T18:00:00+00:00,578.48000000,578.82000000,576.46000000,576.87000000,1903.58100000
2026-07-04T19:00:00+00:00,576.88000000,577.22000000,575.51000000,575.52000000,1719.75400000
2026-07-04T20:00:00+00:00,575.52000000,575.95000000,573.16000000,573.21000000,3048.38900000
2026-07-04T21:00:00+00:00,573.21000000,575.47000000,572.57000000,574.68000000,2820.62000000
2026-07-04T22:00:00+00:00,574.68000000,578.27000000,574.49000000,576.67000000,3193.49400000
2026-07-04T23:00:00+00:00,576.68000000,576.80000000,573.70000000,575.37000000,3195.29300000
2026-07-05T00:00:00+00:00,575.38000000,575.43000000,572.15000000,573.26000000,2964.55600000
2026-07-05T01:00:00+00:00,573.25000000,573.90000000,569.89000000,572.00000000,4179.77500000
2026-07-05T02:00:00+00:00,571.99000000,572.28000000,568.19000000,569.38000000,4375.01600000
2026-07-05T03:00:00+00:00,569.37000000,571.09000000,569.37000000,570.44000000,2272.27000000
2026-07-05T04:00:00+00:00,570.44000000,572.14000000,569.88000000,571.48000000,2831.60600000
2026-07-05T05:00:00+00:00,571.47000000,572.14000000,570.36000000,571.61000000,6229.72000000
2026-07-05T06:00:00+00:00,571.62000000,572.40000000,570.58000000,571.61000000,3007.98100000
2026-07-05T07:00:00+00:00,571.61000000,575.83000000,571.44000000,575.64000000,3489.99500000
2026-07-05T08:00:00+00:00,575.65000000,579.00000000,574.84000000,578.32000000,6996.71500000
2026-07-05T09:00:00+00:00,578.32000000,578.36000000,572.48000000,574.61000000,8037.23900000
2026-07-05T10:00:00+00:00,574.60000000,576.39000000,573.80000000,576.13000000,5310.19900000
2026-07-05T11:00:00+00:00,576.13000000,578.28000000,574.49000000,577.05000000,5766.80000000
2026-07-05T12:00:00+00:00,577.06000000,586.54000000,576.19000000,583.72000000,10621.30400000
2026-07-05T13:00:00+00:00,583.72000000,587.73000000,582.25000000,586.88000000,13009.75800000
2026-07-05T14:00:00+00:00,586.87000000,589.82000000,586.29000000,587.29000000,9867.42000000
2026-07-05T15:00:00+00:00,587.29000000,589.85000000,586.59000000,587.34000000,6167.39700000
2026-07-05T16:00:00+00:00,587.34000000,588.95000000,584.87000000,585.76000000,5660.86700000
2026-07-05T17:00:00+00:00,585.76000000,587.21000000,584.48000000,585.35000000,2588.31100000
2026-07-05T18:00:00+00:00,585.34000000,591.80000000,583.49000000,590.59000000,7889.25800000
2026-07-05T19:00:00+00:00,590.59000000,591.11000000,588.84000000,589.45000000,4439.49900000
2026-07-05T20:00:00+00:00,589.44000000,590.60000000,587.62000000,588.07000000,2679.99200000
2026-07-05T21:00:00+00:00,588.07000000,591.27000000,585.84000000,589.65000000,3903.62700000
2026-07-05T22:00:00+00:00,589.65000000,593.47000000,588.90000000,591.55000000,6074.12100000
2026-07-05T23:00:00+00:00,591.55000000,593.10000000,589.03000000,589.87000000,4473.40800000
2026-07-06T00:00:00+00:00,589.88000000,591.87000000,587.01000000,591.77000000,4249.57000000
2026-07-06T01:00:00+00:00,591.77000000,593.10000000,587.89000000,588.53000000,5955.81800000
2026-07-06T02:00:00+00:00,588.53000000,589.32000000,585.47000000,586.41000000,4584.88800000
2026-07-06T03:00:00+00:00,586.40000000,586.64000000,582.67000000,585.41000000,6864.78600000
2026-07-06T04:00:00+00:00,585.41000000,585.68000000,583.43000000,584.07000000,2673.32900000
2026-07-06T05:00:00+00:00,584.08000000,584.66000000,581.13000000,583.17000000,6444.83300000
2026-07-06T06:00:00+00:00,583.17000000,583.39000000,581.62000000,582.39000000,3482.68200000
2026-07-06T07:00:00+00:00,582.38000000,582.88000000,581.03000000,582.08000000,4264.39800000
2026-07-06T08:00:00+00:00,582.07000000,582.90000000,579.90000000,580.63000000,6123.92600000
